('com.herocraft.game.free.mig29_1.0.22.log', 'com.herocraft.game.free.mig29', 'SDKConnectionRough', 'Fyber', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.herocraft.game.free.mig29_1.0.22.apk')
('com.herocraft.game.free.mig29_1.0.22.log', 'com.herocraft.game.free.mig29', 'SDKConnectionRough', 'Vungle', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.herocraft.game.free.mig29_1.0.22.apk')
('com.herocraft.game.free.mig29_1.0.22.log', 'com.herocraft.game.free.mig29', 'SDKConnectionRough', 'Tapjoy', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.herocraft.game.free.mig29_1.0.22.apk')
('com.herocraft.game.free.mig29_1.0.22.log', 'com.herocraft.game.free.mig29', 'SDKConnectionRough', 'AdColony', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.herocraft.game.free.mig29_1.0.22.apk')
('com.herocraft.game.free.mig29_1.0.22.log', 'com.herocraft.game.free.mig29', 'SDKConnectionRough', 'Unity Ads', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.herocraft.game.free.mig29_1.0.22.apk')
('com.thinkyeah.smartlockfree_4.3.7.log', 'com.thinkyeah.smartlockfree', 'SDKConnectionRough', 'AdMob', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.thinkyeah.smartlockfree_4.3.7.apk')
('com.thinkyeah.smartlockfree_4.3.7.log', 'com.thinkyeah.smartlockfree', 'SDKConnectionRough', 'Ironsource', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.thinkyeah.smartlockfree_4.3.7.apk')
('com.thinkyeah.smartlockfree_4.3.7.log', 'com.thinkyeah.smartlockfree', 'SDKConnectionRough', 'InMobi', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.thinkyeah.smartlockfree_4.3.7.apk')
('com.thinkyeah.smartlockfree_4.3.7.log', 'com.thinkyeah.smartlockfree', 'SDKConnectionRough', 'Fyber', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.thinkyeah.smartlockfree_4.3.7.apk')
('com.thinkyeah.smartlockfree_4.3.7.log', 'com.thinkyeah.smartlockfree', 'SDKConnectionRough', 'Bytedance', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.thinkyeah.smartlockfree_4.3.7.apk')
('com.thinkyeah.smartlockfree_4.3.7.log', 'com.thinkyeah.smartlockfree', 'SDKConnectionRough', 'Vungle', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.thinkyeah.smartlockfree_4.3.7.apk')
('com.thinkyeah.smartlockfree_4.3.7.log', 'com.thinkyeah.smartlockfree', 'SDKConnectionRough', 'Tapjoy', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.thinkyeah.smartlockfree_4.3.7.apk')
('com.thinkyeah.smartlockfree_4.3.7.log', 'com.thinkyeah.smartlockfree', 'SDKConnectionRough', 'AdColony', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.thinkyeah.smartlockfree_4.3.7.apk')
('com.thinkyeah.smartlockfree_4.3.7.log', 'com.thinkyeah.smartlockfree', 'SDKConnectionRough', 'Unity Ads', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.thinkyeah.smartlockfree_4.3.7.apk')
('com.HitmoGames.ModJurassicCraft_7.0.log', 'com.HitmoGames.ModJurassicCraft', 'SDKConnectionRough', 'Unity Ads', 'AppLovin', '/N/project/android_lib_proj/privacy_impl/apks/com.HitmoGames.ModJurassicCraft_7.0.apk')
('com.wCPAMarketingMastery_11677321_1.0.2.log', 'com.wCPAMarketingMastery_11677321', 'SDKConnectionRough', 'Facebook Audience Network', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.wCPAMarketingMastery_11677321_1.0.2.apk')
('com.wCPAMarketingMastery_11677321_1.0.2.log', 'com.wCPAMarketingMastery_11677321', 'SDKConnectionRough', 'AdMob', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.wCPAMarketingMastery_11677321_1.0.2.apk')
('com.wCPAMarketingMastery_11677321_1.0.2.log', 'com.wCPAMarketingMastery_11677321', 'SDKConnectionRough', 'Facebook', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.wCPAMarketingMastery_11677321_1.0.2.apk')
('com.w_10114282_1.0.3.log', 'com.w_10114282', 'SDKConnectionRough', 'AppLovin', 'AerServ', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10114282_1.0.3.apk')
('com.w_10114282_1.0.3.log', 'com.w_10114282', 'SDKConnectionRough', 'AdMob', 'MoPub', '/N/project/android_lib_proj/privacy_impl/apks/com.w_10114282_1.0.3.apk')
